AGE_GROUP,AGE_GROUP_AVG_TIME,AGE_GROUP_COUNT,YEAR
10,,0.0,1977.0
15,5.5715,12.0,1977.0
20,5.84263157895,38.0,1977.0
25,5.79408,50.0,1977.0
30,5.90024324324,37.0,1977.0
35,6.03245,20.0,1977.0
40,5.7442,15.0,1977.0
45,6.57866666667,6.0,1977.0
50,5.83233333333,6.0,1977.0
55,6.16875,4.0,1977.0
60,,0.0,1977.0
65,7.0,1.0,1977.0
70,,0.0,1977.0
75,,0.0,1977.0
10,6.307,1.0,1978.0
15,5.74641176471,17.0,1978.0
20,5.74739534884,43.0,1978.0
25,5.52696363636,55.0,1978.0
30,5.59670909091,55.0,1978.0
35,5.72864583333,48.0,1978.0
40,5.99747058823,17.0,1978.0
45,5.96042857143,7.0,1978.0
50,6.3045,8.0,1978.0
55,6.5366,5.0,1978.0
60,6.847,2.0,1978.0
65,,0.0,1978.0
70,8.084,1.0,1978.0
75,,0.0,1978.0
10,5.265,2.0,1979.0
15,5.3195,8.0,1979.0
20,5.727,16.0,1979.0
25,5.67890566038,53.0,1979.0
30,5.6727,60.0,1979.0
35,5.801640625,64.0,1979.0
40,6.15351612903,31.0,1979.0
45,6.76666666667,3.0,1979.0
50,6.31835714286,14.0,1979.0
55,6.9835,4.0,1979.0
60,7.57633333333,6.0,1979.0
65,6.721,1.0,1979.0
70,,0.0,1979.0
75,,0.0,1979.0
10,7.38733333333,3.0,1980.0
15,5.50790909091,11.0,1980.0
20,5.47261538462,26.0,1980.0
25,5.47151020408,49.0,1980.0
30,5.53855128205,78.0,1980.0
35,5.93248837209,86.0,1980.0
40,6.24182608696,46.0,1980.0
45,6.28658333333,24.0,1980.0
50,6.50111764706,17.0,1980.0
55,7.459125,8.0,1980.0
60,6.636,3.0,1980.0
65,6.89766666667,3.0,1980.0
70,,0.0,1980.0
75,,0.0,1980.0
10,7.90125,4.0,1981.0
15,5.47075,16.0,1981.0
20,5.41922580645,31.0,1981.0
25,5.22016949152,59.0,1981.0
30,5.45097029703,101.0,1981.0
35,5.80514444444,90.0,1981.0
40,5.82158208955,67.0,1981.0
45,6.25808333333,24.0,1981.0
50,6.86304545455,22.0,1981.0
55,6.573,10.0,1981.0
60,7.2976,5.0,1981.0
65,6.93266666667,6.0,1981.0
70,,0.0,1981.0
75,,0.0,1981.0
10,7.341,2.0,1982.0
15,6.07733333333,9.0,1982.0
20,5.796925,40.0,1982.0
25,5.49684057971,69.0,1982.0
30,5.77760185185,108.0,1982.0
35,6.00366666667,96.0,1982.0
40,6.02497142857,70.0,1982.0
45,6.21215384615,26.0,1982.0
50,6.62725,20.0,1982.0
55,7.2812,10.0,1982.0
60,6.8402,5.0,1982.0
65,7.7048,5.0,1982.0
70,9.061,1.0,1982.0
75,,0.0,1982.0
10,,0.0,1983.0
15,5.95175,8.0,1983.0
20,5.61735294118,34.0,1983.0
25,5.64834444444,90.0,1983.0
30,5.66241176471,102.0,1983.0
35,5.91052336449,107.0,1983.0
40,5.9888625,80.0,1983.0
45,6.70568571428,35.0,1983.0
50,6.622,23.0,1983.0
55,7.5197,10.0,1983.0
60,6.60366666667,3.0,1983.0
65,,0.0,1983.0
70,6.596,1.0,1983.0
75,9.684,1.0,1983.0
10,,0.0,1984.0
15,5.94522222222,9.0,1984.0
20,5.75031428571,35.0,1984.0
25,5.77742307692,78.0,1984.0
30,5.82492207792,77.0,1984.0
35,6.08090909091,110.0,1984.0
40,6.13898611111,72.0,1984.0
45,6.64529166666,24.0,1984.0
50,6.73765217391,23.0,1984.0
55,6.7834,5.0,1984.0
60,6.5355,4.0,1984.0
65,8.086,2.0,1984.0
70,6.971,1.0,1984.0
75,,0.0,1984.0
10,,0.0,1985.0
15,6.50833333333,3.0,1985.0
20,6.16339130435,23.0,1985.0
25,5.696609375,64.0,1985.0
30,6.00515492958,71.0,1985.0
35,6.26101449275,69.0,1985.0
40,6.14261290323,62.0,1985.0
45,6.778,27.0,1985.0
50,6.61269230769,13.0,1985.0
55,7.07809090909,11.0,1985.0
60,7.097,3.0,1985.0
65,7.816,2.0,1985.0
70,9.1945,2.0,1985.0
75,,0.0,1985.0
10,,0.0,1986.0
15,5.55,2.0,1986.0
20,5.65835,20.0,1986.0
25,5.56515384615,52.0,1986.0
30,5.78172857143,70.0,1986.0
35,6.22554216867,83.0,1986.0
40,5.94528571429,49.0,1986.0
45,6.41502564103,39.0,1986.0
50,6.85115384615,13.0,1986.0
55,6.4564,10.0,1986.0
60,7.033,3.0,1986.0
65,7.793,2.0,1986.0
70,8.2635,2.0,1986.0
75,,0.0,1986.0
10,,0.0,1987.0
15,6.48066666667,3.0,1987.0
20,6.14309090909,11.0,1987.0
25,5.32093103448,29.0,1987.0
30,5.6768,50.0,1987.0
35,6.0502,65.0,1987.0
40,6.06811363636,44.0,1987.0
45,6.3538,25.0,1987.0
50,6.2419375,16.0,1987.0
55,6.77325,8.0,1987.0
60,6.942,1.0,1987.0
65,6.53733333333,3.0,1987.0
70,8.5635,2.0,1987.0
75,,0.0,1987.0
10,,0.0,1988.0
15,5.385,5.0,1988.0
20,5.61022727273,22.0,1988.0
25,5.73595384616,65.0,1988.0
30,5.729578125,64.0,1988.0
35,6.25657352941,68.0,1988.0
40,6.27637096774,62.0,1988.0
45,6.79239583333,48.0,1988.0
50,7.09653333333,15.0,1988.0
55,7.05718181818,11.0,1988.0
60,6.95425,4.0,1988.0
65,7.089,5.0,1988.0
70,7.0695,2.0,1988.0
75,8.0785,2.0,1988.0
10,,0.0,1989.0
15,6.58575,4.0,1989.0
20,5.86266666667,12.0,1989.0
25,5.51761538461,52.0,1989.0
30,5.9323875,80.0,1989.0
35,6.15769306931,101.0,1989.0
40,6.41277894737,95.0,1989.0
45,6.41372727273,44.0,1989.0
50,7.0958,20.0,1989.0
55,6.82933333333,12.0,1989.0
60,6.9362,5.0,1989.0
65,7.833,1.0,1989.0
70,6.827,1.0,1989.0
75,7.766,1.0,1989.0
10,,0.0,1990.0
15,6.92875,4.0,1990.0
20,6.20042857143,14.0,1990.0
25,5.76087272727,55.0,1990.0
30,6.05979518072,83.0,1990.0
35,6.11095789474,95.0,1990.0
40,6.73935051546,97.0,1990.0
45,6.57135714286,56.0,1990.0
50,7.28482758621,29.0,1990.0
55,7.22078571429,14.0,1990.0
60,7.54475,12.0,1990.0
65,7.839,3.0,1990.0
70,8.332,2.0,1990.0
75,,0.0,1990.0
10,,0.0,1991.0
15,6.90283333333,6.0,1991.0
20,5.94938461538,13.0,1991.0
25,5.9322195122,41.0,1991.0
30,5.85572857143,70.0,1991.0
35,6.24192380953,105.0,1991.0
40,6.70771153846,104.0,1991.0
45,6.76018965517,58.0,1991.0
50,6.74851428572,35.0,1991.0
55,7.28388888889,9.0,1991.0
60,7.04271428571,7.0,1991.0
65,7.705,4.0,1991.0
70,8.5535,2.0,1991.0
75,,0.0,1991.0
10,,0.0,1992.0
15,6.06466666667,3.0,1992.0
20,5.63805263158,19.0,1992.0
25,5.96890909091,33.0,1992.0
30,5.73818518518,54.0,1992.0
35,6.20243243243,111.0,1992.0
40,6.75454237288,118.0,1992.0
45,6.79705263158,76.0,1992.0
50,7.09035,40.0,1992.0
55,7.1969375,16.0,1992.0
60,7.402,7.0,1992.0
65,8.581,4.0,1992.0
70,7.961,2.0,1992.0
75,,0.0,1992.0
10,,0.0,1993.0
15,6.0485,2.0,1993.0
20,5.92976470588,17.0,1993.0
25,6.19664864865,37.0,1993.0
30,5.91734246575,73.0,1993.0
35,6.2366060606,99.0,1993.0
40,6.61821100918,109.0,1993.0
45,7.04932051282,78.0,1993.0
50,6.95582978723,47.0,1993.0
55,7.62338095238,21.0,1993.0
60,7.274,9.0,1993.0
65,8.28675,8.0,1993.0
70,8.28033333333,3.0,1993.0
75,7.919,1.0,1993.0
10,,0.0,1994.0
15,5.4505,4.0,1994.0
20,6.63035294118,17.0,1994.0
25,6.14864583333,48.0,1994.0
30,6.32614102564,78.0,1994.0
35,6.33826595745,94.0,1994.0
40,6.69693,100.0,1994.0
45,6.66337078652,89.0,1994.0
50,6.79379069768,43.0,1994.0
55,7.8765,16.0,1994.0
60,8.5504,10.0,1994.0
65,7.9005,6.0,1994.0
70,8.013,2.0,1994.0
75,9.882,1.0,1994.0
10,,0.0,1995.0
15,6.08933333333,3.0,1995.0
20,6.11538461539,13.0,1995.0
25,5.67793333333,30.0,1995.0
30,6.10661842105,76.0,1995.0
35,6.24014583333,96.0,1995.0
40,6.76408080808,99.0,1995.0
45,6.74518181818,88.0,1995.0
50,7.05576595745,47.0,1995.0
55,7.12341176471,17.0,1995.0
60,7.895,15.0,1995.0
65,7.634,3.0,1995.0
70,8.982,2.0,1995.0
75,,0.0,1995.0
10,,0.0,1996.0
15,6.849,7.0,1996.0
20,6.46161538462,13.0,1996.0
25,6.21205555556,36.0,1996.0
30,5.95607692308,52.0,1996.0
35,6.63555681818,88.0,1996.0
40,6.69733333333,102.0,1996.0
45,7.17067901235,81.0,1996.0
50,7.14751162791,43.0,1996.0
55,7.38009090909,22.0,1996.0
60,8.078,10.0,1996.0
65,7.759,4.0,1996.0
70,9.575,2.0,1996.0
75,,0.0,1996.0
10,,0.0,1997.0
15,7.32,2.0,1997.0
20,5.51283333333,12.0,1997.0
25,6.38477272727,44.0,1997.0
30,6.29590140845,71.0,1997.0
35,6.36090625,96.0,1997.0
40,6.88362376238,101.0,1997.0
45,7.04041860465,86.0,1997.0
50,7.2547,50.0,1997.0
55,7.52865,40.0,1997.0
60,8.21722222222,18.0,1997.0
65,8.117375,8.0,1997.0
70,8.252,1.0,1997.0
75,8.7735,2.0,1997.0
10,,0.0,1998.0
15,6.35418181818,11.0,1998.0
20,5.9951,10.0,1998.0
25,6.73476470588,34.0,1998.0
30,6.47942647059,68.0,1998.0
35,6.56059139785,93.0,1998.0
40,7.01345631068,103.0,1998.0
45,7.27401149425,87.0,1998.0
50,7.45031343284,67.0,1998.0
55,7.45819444444,36.0,1998.0
60,8.055,11.0,1998.0
65,7.96114285714,7.0,1998.0
70,8.604,1.0,1998.0
75,,0.0,1998.0
10,,0.0,1999.0
15,5.51066666667,3.0,1999.0
20,5.881,18.0,1999.0
25,6.22070731707,41.0,1999.0
30,6.64081967213,61.0,1999.0
35,6.56990909091,99.0,1999.0
40,6.72393965517,116.0,1999.0
45,7.37175824176,91.0,1999.0
50,7.36521126761,71.0,1999.0
55,7.1506969697,33.0,1999.0
60,7.705125,16.0,1999.0
65,8.843125,8.0,1999.0
70,8.266,1.0,1999.0
75,8.115,1.0,1999.0
10,,0.0,2000.0
15,5.764,1.0,2000.0
20,5.995,10.0,2000.0
25,6.496725,40.0,2000.0
30,6.70037096774,62.0,2000.0
35,6.54397260274,73.0,2000.0
40,6.7613245614,114.0,2000.0
45,7.21279,100.0,2000.0
50,7.48798734177,79.0,2000.0
55,7.54003448276,29.0,2000.0
60,7.766875,16.0,2000.0
65,8.8905,2.0,2000.0
70,9.132,4.0,2000.0
75,,0.0,2000.0
10,,0.0,2001.0
15,6.48,2.0,2001.0
20,6.16125,8.0,2001.0
25,6.7615483871,31.0,2001.0
30,6.90874603175,63.0,2001.0
35,7.04641891892,74.0,2001.0
40,6.92994736842,114.0,2001.0
45,7.18959793815,97.0,2001.0
50,7.69379012346,81.0,2001.0
55,7.6440625,32.0,2001.0
60,7.74511111111,18.0,2001.0
65,8.03,3.0,2001.0
70,8.87525,4.0,2001.0
75,,0.0,2001.0
10,,0.0,2002.0
15,7.47,4.0,2002.0
20,5.98173684211,19.0,2002.0
25,6.63657575758,33.0,2002.0
30,6.63875362319,69.0,2002.0
35,7.11093181818,88.0,2002.0
40,7.16272826087,92.0,2002.0
45,7.0768,85.0,2002.0
50,7.494,77.0,2002.0
55,7.39695238095,42.0,2002.0
60,7.6608,15.0,2002.0
65,7.94366666667,6.0,2002.0
70,8.7402,5.0,2002.0
75,,0.0,2002.0
10,,0.0,2003.0
15,7.7685,2.0,2003.0
20,6.70829411765,17.0,2003.0
25,6.48064102564,39.0,2003.0
30,6.55937373738,99.0,2003.0
35,6.69640229885,87.0,2003.0
40,6.90598039216,102.0,2003.0
45,7.25328181818,110.0,2003.0
50,7.54555882353,68.0,2003.0
55,7.91078571429,42.0,2003.0
60,7.8115,16.0,2003.0
65,8.210875,8.0,2003.0
70,8.43183333333,6.0,2003.0
75,,0.0,2003.0
10,,0.0,2004.0
15,8.787,1.0,2004.0
20,6.89216666667,12.0,2004.0
25,6.31333333333,33.0,2004.0
30,6.62955813954,86.0,2004.0
35,6.78912121212,99.0,2004.0
40,7.08743243243,111.0,2004.0
45,7.06852747252,91.0,2004.0
50,7.25535365854,82.0,2004.0
55,7.76653846154,52.0,2004.0
60,7.66891304348,23.0,2004.0
65,7.9416,5.0,2004.0
70,9.13933333333,6.0,2004.0
75,,0.0,2004.0
10,,0.0,2005.0
15,7.523,4.0,2005.0
20,7.08214285714,14.0,2005.0
25,6.24870588235,34.0,2005.0
30,6.67911940299,67.0,2005.0
35,6.5035106383,94.0,2005.0
40,6.87021359223,103.0,2005.0
45,7.32310185185,108.0,2005.0
50,7.52673584906,106.0,2005.0
55,7.83555555556,54.0,2005.0
60,7.78133333333,24.0,2005.0
65,8.246875,16.0,2005.0
70,8.82475,4.0,2005.0
75,9.9155,2.0,2005.0
10,,0.0,2006.0
15,6.902,1.0,2006.0
20,6.50628571429,14.0,2006.0
25,6.2559375,32.0,2006.0
30,6.51129508196,61.0,2006.0
35,6.7530989011,91.0,2006.0
40,6.94021176471,85.0,2006.0
45,6.87842168675,83.0,2006.0
50,7.19121917808,73.0,2006.0
55,7.66898,50.0,2006.0
60,7.88681818182,22.0,2006.0
65,8.20654545455,11.0,2006.0
70,8.76675,4.0,2006.0
75,9.839,1.0,2006.0
10,,0.0,2007.0
15,7.1475,2.0,2007.0
20,7.23433333333,15.0,2007.0
25,6.91766,50.0,2007.0
30,6.74645614035,57.0,2007.0
35,6.71197272727,110.0,2007.0
40,7.14729032258,93.0,2007.0
45,7.20407142857,98.0,2007.0
50,7.33298611111,72.0,2007.0
55,7.68389130435,46.0,2007.0
60,7.85886206896,29.0,2007.0
65,7.99428571429,7.0,2007.0
70,8.2805,4.0,2007.0
75,9.332,1.0,2007.0
10,,0.0,2008.0
15,7.643,1.0,2008.0
20,6.7118,10.0,2008.0
25,6.09376666667,30.0,2008.0
30,6.74296078431,51.0,2008.0
35,6.88482142857,112.0,2008.0
40,7.20642465753,73.0,2008.0
45,7.08646753247,77.0,2008.0
50,7.64745901639,61.0,2008.0
55,7.92988888889,36.0,2008.0
60,8.11134782609,23.0,2008.0
65,7.99133333333,6.0,2008.0
70,8.236,4.0,2008.0
75,9.786,2.0,2008.0
10,,0.0,2009.0
15,7.332,2.0,2009.0
20,6.30508333333,12.0,2009.0
25,6.45318604651,43.0,2009.0
30,6.51651923077,52.0,2009.0
35,6.69884536082,97.0,2009.0
40,6.94016666667,96.0,2009.0
45,6.9661728395,81.0,2009.0
50,7.41757534247,73.0,2009.0
55,7.58352380953,42.0,2009.0
60,7.66659259259,27.0,2009.0
65,8.33136363636,11.0,2009.0
70,8.976,2.0,2009.0
75,8.775,1.0,2009.0
10,,0.0,2010.0
15,6.32066666667,3.0,2010.0
20,6.7527,10.0,2010.0
25,6.38732258064,31.0,2010.0
30,6.68355357143,56.0,2010.0
35,6.60527368421,95.0,2010.0
40,7.07902380952,84.0,2010.0
45,6.93837179487,78.0,2010.0
50,7.42104285714,70.0,2010.0
55,7.58856862745,51.0,2010.0
60,7.69263636364,22.0,2010.0
65,7.8822,10.0,2010.0
70,9.403,2.0,2010.0
75,9.244,1.0,2010.0
10,,0.0,2011.0
15,,0.0,2011.0
20,6.26671428571,7.0,2011.0
25,6.67321052632,38.0,2011.0
30,6.31868181818,66.0,2011.0
35,6.69502531646,79.0,2011.0
40,6.89788118812,101.0,2011.0
45,7.16614942529,87.0,2011.0
50,7.37725301205,83.0,2011.0
55,7.557,45.0,2011.0
60,7.97848,25.0,2011.0
65,8.11822222222,9.0,2011.0
70,9.2465,2.0,2011.0
75,9.461,1.0,2011.0
10,,0.0,2012.0
15,6.677,4.0,2012.0
20,6.64033333333,9.0,2012.0
25,6.38695833333,48.0,2012.0
30,6.86280597015,67.0,2012.0
35,6.65881481481,81.0,2012.0
40,6.96237168142,113.0,2012.0
45,7.588,64.0,2012.0
50,7.513225,80.0,2012.0
55,7.55366666667,42.0,2012.0
60,8.09692,25.0,2012.0
65,8.02722222222,9.0,2012.0
70,8.97542857143,7.0,2012.0
75,,0.0,2012.0
10,,0.0,2013.0
15,6.2408,5.0,2013.0
20,6.639,10.0,2013.0
25,6.03608510638,47.0,2013.0
30,6.47675384615,65.0,2013.0
35,6.64218309859,71.0,2013.0
40,6.82711650485,103.0,2013.0
45,7.36119402985,67.0,2013.0
50,7.39811842105,76.0,2013.0
55,7.84051923077,52.0,2013.0
60,7.90922222222,27.0,2013.0
65,7.8428,10.0,2013.0
70,8.89075,4.0,2013.0
75,,0.0,2013.0
10,,0.0,2014.0
15,6.094,1.0,2014.0
20,5.6119,10.0,2014.0
25,6.366,45.0,2014.0
30,6.69430555556,72.0,2014.0
35,6.85176,75.0,2014.0
40,6.99348387097,93.0,2014.0
45,7.19786486486,74.0,2014.0
50,7.54648333333,60.0,2014.0
55,7.80435294118,51.0,2014.0
60,7.92986956522,23.0,2014.0
65,8.63625,4.0,2014.0
70,8.64316666667,6.0,2014.0
75,9.865,1.0,2014.0
10,,0.0,2015.0
15,7.078,3.0,2015.0
20,6.26238461539,13.0,2015.0
25,6.50080645161,31.0,2015.0
30,6.56615277778,72.0,2015.0
35,6.92391358024,81.0,2015.0
40,7.03695652174,92.0,2015.0
45,7.35398958333,96.0,2015.0
50,7.61697647059,85.0,2015.0
55,7.852425,40.0,2015.0
60,8.14308,25.0,2015.0
65,7.999125,16.0,2015.0
70,8.209,3.0,2015.0
75,,0.0,2015.0
10,,0.0,2016.0
15,6.376,2.0,2016.0
20,5.816125,8.0,2016.0
25,7.07277777778,36.0,2016.0
30,6.72026388889,72.0,2016.0
35,6.94942857143,70.0,2016.0
40,7.16128421053,95.0,2016.0
45,7.24830263158,76.0,2016.0
50,7.74403278688,61.0,2016.0
55,7.81072881356,59.0,2016.0
60,7.98096,25.0,2016.0
65,8.36527272727,11.0,2016.0
70,8.7706,5.0,2016.0
75,,0.0,2016.0
